Greenpeace	NP	Greenpeace
campaigns	NNS	campaign
against	IN	against
the	DT	the
use	NN	use
of	IN	of
chemical	JJ	chemical
pesticides	NNS	pesticide
in	IN	in
agriculture	NN	agriculture
,	,	,
as	IN	as
they	PP	they
are	VBP	be
unnecessary	JJ	unnecessary
.	SENT	.
Across	IN	across
the	DT	the
globe	NN	globe
,	,	,
ecological	JJ	ecological
pest	NN	pest
management	NN	management
has	VBZ	have
proven	VBN	prove
to	TO	to
be	VB	be
successful	JJ	successful
.	SENT	.
A	DT	a
review	NN	review
of	IN	of
the	DT	the
literature	NN	literature
reveals	VBZ	reveal
the	DT	the
grim	JJ	grim
health	NN	health
impacts	NNS	impact
of	IN	of
industrial	JJ	industrial
farming	NN	farming
's	POS	's
routine	JJ	routine
pesticide	NN	pesticide
use	NN	use
.	SENT	.
This	DT	this
practice	NN	practice
exposes	VBZ	expose
farmers	NNS	farmer
,	,	,
their	PP$	their
families	NNS	family
,	,	,
and	CC	and
the	DT	the
public	NN	public
to	TO	to
these	DT	these
chemicals	NNS	chemical
,	,	,
which	WDT	which
are	VBP	be
linked	VBN	link
to	TO	to
a	DT	a
range	NN	range
of	IN	of
serious	JJ	serious
health	NN	health
issues	NNS	issue
.	SENT	.
These	DT	these
include	VBP	include
cancers	NNS	cancer
,	,	,
neurodegenerative	JJ	neurodegenerative
diseases	NNS	disease
,	,	,
and	CC	and
disruptions	NNS	disruption
to	TO	to
the	DT	the
immune	JJ	immune
and	CC	and
hormone	NN	hormone
systems	NNS	system
.	SENT	.
The	DT	the
consequences	NNS	consequence
also	RB	also
extend	VBP	extend
to	TO	to
birth	VB	birth
defects	NNS	defect
and	CC	and
developmental	JJ	developmental
issues	NNS	issue
,	,	,
with	IN	with
pregnant	JJ	pregnant
women	NNS	woman
and	CC	and
children	NNS	child
being	VBG	be
especially	RB	especially
vulnerable	JJ	vulnerable
.	SENT	.
Furthermore	RB	furthermore
,	,	,
some	DT	some
individuals	NNS	individual
may	MD	may
have	VB	have
genetic	JJ	genetic
vulnerabilities	NNS	vulnerability
,	,	,
and	CC	and
there	EX	there
is	VBZ	be
evidence	NN	evidence
of	IN	of
intergenerational	JJ	intergenerational
effects	NNS	effect
.	SENT	.
Proving	VBG	prove
direct	JJ	direct
causation	NN	causation
between	IN	between
a	DT	a
specific	JJ	specific
pesticide	NN	pesticide
and	CC	and
a	DT	a
health	NN	health
condition	NN	condition
is	VBZ	be
challenging	VBG	challenge
because	IN	because
people	NNS	people
are	VBP	be
typically	RB	typically
exposed	VBN	expose
to	TO	to
multiple	JJ	multiple
chemicals	NNS	chemical
.	SENT	.
The	DT	the
solution	NN	solution
is	VBZ	be
to	TO	to
shift	VB	shift
to	TO	to
ecological	JJ	ecological
farming	NN	farming
.	SENT	.
This	DT	this
will	MD	will
provide	VB	provide
healthy	JJ	healthy
food	NN	food
and	CC	and
protect	VB	protect
people	NNS	people
from	IN	from
exposure	NN	exposure
to	TO	to
harmful	JJ	harmful
chemicals	NNS	chemical
.	SENT	.
We	PP	we
urge	VBP	urge
everyone	NN	everyone
to	TO	to
join	VB	join
the	DT	the
food	NN	food
movement	NN	movement
.	SENT	.
