“	``	"
We	PP	we
cannot	MD	can
solve	VB	solve
problems	NNS	problem
with	IN	with
the	DT	the
same	JJ	same
kind	NN	kind
of	IN	of
thinking	VBG	think
that	IN	that
created	VBN	create
them	PP	them
.	SENT	.
”	''	"
Put	VB	put
people	NNS	people
over	IN	over
profit	NN	profit
Prioritise	NN	<unknown>
people	NNS	people
and	CC	and
the	DT	the
environment	NN	environment
over	IN	over
narrow	JJ	narrow
and	CC	and
short-term	JJ	short-term
economic	JJ	economic
interests	NNS	interest
.	SENT	.
Serve	VB	serve
the	DT	the
health	NN	health
and	CC	and
wellbeing	NN	wellbeing
of	IN	of
people	NNS	people
and	CC	and
other	JJ	other
life	NN	life
forms	NNS	form
,	,	,
environmental	JJ	environmental
sustainability	NN	sustainability
,	,	,
and	CC	and
social	JJ	social
justice	NN	justice
instead	RB	instead
of	IN	of
undermining	VBG	undermine
them	PP	them
in	IN	in
the	DT	the
name	NN	name
of	IN	of
growth	NN	growth
.	SENT	.
Promotes	VBZ	promote
justice	NN	justice
,	,	,
accountability	NN	accountability
and	CC	and
transparency	NN	transparency
in	IN	in
political	JJ	political
and	CC	and
economic	JJ	economic
processes	NNS	process
.	SENT	.
Include	VB	include
everyone	NN	everyone
Treat	NP	Treat
unpaid	JJ	unpaid
caregivers	NNS	caregiver
and	CC	and
parents	NNS	parent
raising	VBG	raise
children	NNS	child
as	IN	as
contributors	NNS	contributor
to	TO	to
society	NN	society
in	IN	in
their	PP$	their
own	JJ	own
right	NN	right
.	SENT	.
Maintain	VB	maintain
the	DT	the
commons	NN	commons
;	:	;
a	DT	a
space	NN	space
where	WRB	where
communities	NNS	community
can	MD	can
organize	VB	organize
to	TO	to
manage	VB	manage
a	DT	a
resource	NN	resource
they	PP	they
care	VBP	care
about	RB	about
based	VBN	base
on	IN	on
their	PP$	their
own	JJ	own
rules	NNS	rule
,	,	,
rather	RB	rather
than	IN	than
one	CD	one
defined	VBN	define
by	IN	by
the	DT	the
market	NN	market
or	CC	or
the	DT	the
state	NN	state
.	SENT	.
Reinvent	VB	reinvent
institutions	NNS	institution
and	CC	and
structures	NNS	structure
to	TO	to
be	VB	be
less	RBR	less
hierarchical	JJ	hierarchical
and	CC	and
more	RBR	more
inclusive	JJ	inclusive
;	:	;
democratizing	VBG	democratize
knowledge	NN	knowledge
,	,	,
information	NN	information
and	CC	and
resources	NNS	resource
,	,	,
distributing	VBG	distribute
power	NN	power
and	CC	and
decentralizing	VBG	decentralize
energy	NN	energy
and	CC	and
food	NN	food
systems	NNS	system
.	SENT	.
Recognise	VB	recognise
human	JJ	human
diversity	NN	diversity
while	IN	while
giving	VBG	give
everyone	NN	everyone
equitable	JJ	equitable
opportunities	NNS	opportunity
regardless	RB	regardless
of	IN	of
race	NN	race
,	,	,
nationality	NN	nationality
,	,	,
ethnicity	NN	ethnicity
,	,	,
language	NN	language
,	,	,
religion	NN	religion
,	,	,
sexual	JJ	sexual
orientation	NN	orientation
,	,	,
gender	NN	gender
,	,	,
social	JJ	social
class	NN	class
,	,	,
age	NN	age
and	CC	and
mental	JJ	mental
or	CC	or
physical	JJ	physical
ability	NN	ability
.	SENT	.
Share	NN	share
resources	NNS	resource
Distribute	VBP	distribute
the	DT	the
ways	NNS	way
we	PP	we
create	VBP	create
and	CC	and
exchange	NN	exchange
goods	NNS	good
,	,	,
to	TO	to
redistribute	VB	redistribute
wealth	NN	wealth
in	IN	in
an	DT	an
equitable	JJ	equitable
way	NN	way
.	SENT	.
New	JJ	new
business	NN	business
models	NNS	model
(	(	(
like	IN	like
cooperatives	NNS	cooperative
,	,	,
user-owned	JJ	user-owned
platforms	NNS	platform
and	CC	and
peer	VBP	peer
to	TO	to
peer	VB	peer
lending	VBG	lend
and	CC	and
repairing	VBG	repair
networks	NNS	network
)	)	)
can	MD	can
be	VB	be
enabled	VBN	enable
by	IN	by
breakthrough	NN	breakthrough
technologies	NNS	technology
(	(	(
like	IN	like
Blockchain	NP	Blockchain
,	,	,
the	DT	the
Internet	NN	Internet
of	IN	of
Things	NNS	thing
and	CC	and
3D	JJ	3D
printing	NN	printing
)	)	)
that	IN	that
,	,	,
if	IN	if
used	VBN	use
properly	RB	properly
,	,	,
have	VBP	have
huge	JJ	huge
potential	NN	potential
to	TO	to
soften	VB	soften
how	WRB	how
we	PP	we
view	VBP	view
ownership	NN	ownership
.	SENT	.
Put	NN	put
experiences	NNS	experience
above	IN	above
things	NNS	thing
Offer	VB	offer
an	DT	an
alternative	JJ	alternative
vision	NN	vision
of	IN	of
living	NN	living
based	VBN	base
on	IN	on
civic	JJ	civic
participation	NN	participation
,	,	,
affiliation	NN	affiliation
,	,	,
universalism	NN	universalism
,	,	,
and	CC	and
shared	JJ	shared
experiences	NNS	experience
,	,	,
providing	VBG	provide
an	DT	an
antidote	NN	antidote
to	TO	to
consumerism	NN	consumerism
.	SENT	.
Measure	NN	measure
economic	JJ	economic
success	NN	success
,	,	,
not	RB	not
just	RB	just
in	IN	in
the	DT	the
quantity	NN	quantity
of	IN	of
goods	NNS	good
and	CC	and
services	NNS	service
produced	VBN	produce
(	(	(
GDP	NP	GDP
)	)	)
,	,	,
but	CC	but
in	IN	in
contributions	NNS	contribution
to	TO	to
preserving	VBG	preserve
public	JJ	public
resources	NNS	resource
and	CC	and
welfare	NN	welfare
.	SENT	.
Be	VB	be
genuinely	RB	genuinely
sustainable	JJ	sustainable
—	:	-
Albert	NP	Albert
Einstein	NP	Einstein
Put	VBD	put
regeneration	NN	regeneration
at	IN	at
the	DT	the
core	NN	core
of	IN	of
how	WRB	how
we	PP	we
exist	VBP	exist
,	,	,
and	CC	and
manage	VB	manage
our	PP$	our
finite	JJ	finite
resources	NNS	resource
with	IN	with
care	NN	care
:	:	:
by	IN	by
protecting	VBG	protect
biodiversity	NN	biodiversity
,	,	,
using	VBG	use
renewable	JJ	renewable
energy	NN	energy
for	IN	for
all	PDT	all
our	PP$	our
power	NN	power
,	,	,
growing	VBG	grow
our	PP$	our
food	NN	food
ecologically	RB	ecologically
,	,	,
and	CC	and
travelling	VBG	travel
with	IN	with
greener	JJR	green
public	JJ	public
transport	NN	transport
.	SENT	.
We	PP	we
can	MD	can
prevent	VB	prevent
pollution	NN	pollution
and	CC	and
eliminate	VB	eliminate
waste	NN	waste
by	IN	by
putting	VBG	put
reduction	NN	reduction
and	CC	and
reuse	VB	reuse
first	JJ	first
.	SENT	.
Limit	VB	limit
economic	JJ	economic
activity	NN	activity
This	DT	this
would	MD	would
mean	VB	mean
:	:	:
Maintaining	VBG	maintain
vast	JJ	vast
marine	JJ	marine
reserves	NNS	reserve
,	,	,
ocean	NN	ocean
sanctuaries	NNS	sanctuary
,	,	,
protected	JJ	protected
forests	NNS	forest
and	CC	and
wildernesses	NNS	wilderness
treasured	VBN	treasure
for	IN	for
the	DT	the
sake	NN	sake
of	IN	of
being	VBG	be
wild	JJ	wild
.	SENT	.
Drastically	RB	drastically
reducing	VBG	reduce
the	DT	the
size	NN	size
and	CC	and
influence	NN	influence
of	IN	of
the	DT	the
finance	NN	finance
industry	NN	industry
on	IN	on
the	DT	the
economy	NN	economy
,	,	,
abolishing	VBG	abolish
harmful	JJ	harmful
practices	NNS	practice
and	CC	and
financial	JJ	financial
products	NNS	product
.	SENT	.
Establishing	VBG	establish
regulations	NNS	regulation
to	TO	to
penalize	VB	penalize
violations	NNS	violation
of	IN	of
ecological	JJ	ecological
and	CC	and
human	JJ	human
rights	NNS	right
,	,	,
and	CC	and
to	TO	to
control	VB	control
private	JJ	private
use	NN	use
of	IN	of
common	JJ	common
goods	NNS	good
.	SENT	.
Creating	VBG	create
a	DT	a
fair	JJ	fair
trade	NN	trade
system	NN	system
oriented	VBN	orient
towards	IN	towards
public	JJ	public
welfare	NN	welfare
and	CC	and
the	DT	the
improvement	NN	improvement
of	IN	of
environmental	JJ	environmental
and	CC	and
social	JJ	social
standards	NNS	standard
worldwide	RB	worldwide
,	,	,
ending	VBG	end
the	DT	the
neoliberal	JJ	neoliberal
free	JJ	free
trade	NN	trade
regime	NN	regime
that	WDT	that
promotes	VBZ	promote
deregulation	NN	deregulation
and	CC	and
private	JJ	private
tribunals	NNS	tribunal
for	IN	for
corporations	NNS	corporation
.	SENT	.
Allow	VB	allow
more	RBR	more
free	JJ	free
time	NN	time
End	VB	end
our	PP$	our
obsession	NN	obsession
with	IN	with
working	VBG	work
time	NN	time
and	CC	and
encourage	VB	encourage
a	DT	a
more	RBR	more
equitable	JJ	equitable
sharing	NN	sharing
of	IN	of
work	NN	work
by	IN	by
reducing	VBG	reduce
working	VBG	work
hours	NNS	hour
for	IN	for
individuals	NNS	individual
.	SENT	.
Free	JJ	free
people	NNS	people
,	,	,
resources	NNS	resource
and	CC	and
energy	NN	energy
from	IN	from
market	NN	market
productivity	NN	productivity
pressures	NNS	pressure
and	CC	and
consumption	NN	consumption
,	,	,
to	TO	to
spend	VB	spend
more	JJR	more
time	NN	time
on	IN	on
the	DT	the
things	NNS	thing
that	WDT	that
matter	VBP	matter
to	TO	to
us	PP	us
.	SENT	.
Spread	VB	spread
the	DT	the
wealth	NN	wealth
I	PP	I
started	VBD	start
at	IN	at
Greenpeace	NP	Greenpeace
ten	CD	ten
years	NNS	year
ago	RB	ago
.	SENT	.
2008	CD	@card@
does	VBZ	do
n’t	RB	n't
seem	VB	seem
that	IN	that
long	RB	long
ago	RB	ago
,	,	,
but	CC	but
the	DT	the
world	NN	world
was	VBD	be
a	DT	a
very	RB	very
different	JJ	different
place	NN	place
back	RB	back
then	RB	then
.	SENT	.
“	``	"
Tweetstorm	NN	Tweetstorm
”	''	"
was	VBD	be
n’t	RB	n't
a	DT	a
word	NN	word
;	:	;
Wikipedia	NP	<unknown>
and	CC	and
the	DT	the
democratization	NN	democratization
of	IN	of
knowledge	NN	knowledge
were	VBD	be
utopian	JJ	utopian
ideals	NNS	ideal
,	,	,
and	CC	and
social	JJ	social
media	NNS	medium
addiction	NN	addiction
was	VBD	be
n’t	RB	n't
listed	VBN	list
as	IN	as
a	DT	a
psychological	JJ	psychological
disorder	NN	disorder
.	SENT	.
Make	VB	make
those	DT	those
who	WP	who
accumulate	VBP	accumulate
the	DT	the
most	JJS	most
wealth	NN	wealth
,	,	,
use	VBP	use
the	DT	the
most	JJS	most
resources	NNS	resource
and	CC	and
energy	NN	energy
,	,	,
produce	VB	produce
the	DT	the
most	JJS	most
waste	NN	waste
and	CC	and
